year,qingdao_avg_temp,global_avg_temp,青岛5年移动平均温度,全球5年移动平均温度
1841,10.87,7.69,,
1842,11.65,8.02,,
1843,11.8,8.17,,
1844,11.72,7.65,,
1845,11.76,7.85,11.56,7.876
1846,12.15,8.55,11.816,8.048
1847,12.16,8.09,11.918,8.062
1848,11.7,7.98,11.898,8.024
1849,11.83,7.98,11.92,8.09
1850,11.34,7.9,11.836,8.1
1851,10.99,8.18,11.604,8.026
1852,11.2,8.1,11.412,8.028
1853,11.56,8.04,11.384,8.04
1854,12.08,8.21,11.434,8.086
1855,12.21,8.11,11.608,8.128
1856,11.81,8,11.772,8.092
1857,11.89,7.76,11.91,8.024
1858,11.9,8.1,11.978,8.036
1859,11.98,8.25,11.958,8.044
1860,10.99,7.96,11.714,8.014
1861,11.32,7.85,11.616,7.984
1862,10.98,7.56,11.434,7.944
1863,11.89,8.11,11.432,7.946
1864,11.31,7.98,11.298,7.892
1865,11.77,8.18,11.454,7.936
1866,11.74,8.29,11.538,8.024
1867,12.2,8.44,11.782,8.2
1868,12.03,8.25,11.81,8.228
1869,12.37,8.43,12.022,8.318
1870,11.98,8.2,12.064,8.322
1871,12.18,8.12,12.152,8.288
1872,12,8.19,12.112,8.238
1873,11.78,8.35,12.062,8.258
1874,12,8.43,11.988,8.258
1875,11.92,7.86,11.976,8.19
1876,12.26,8.08,11.992,8.182
1877,11.75,8.54,11.942,8.252
1878,11.75,8.83,11.936,8.348
1879,12.14,8.17,11.964,8.296
1880,11.59,8.12,11.898,8.348
1881,11.8,8.27,11.806,8.386
1882,11.93,8.13,11.842,8.304
1883,11.67,7.98,11.826,8.134
1884,11.04,7.77,11.606,8.054
1885,11.27,7.92,11.542,8.014
1886,11.59,7.95,11.5,7.95
1887,11.77,7.91,11.468,7.906
1888,11.81,8.09,11.496,7.928
1889,11.34,8.32,11.556,8.038
1890,12.56,7.97,11.814,8.048
1891,11.97,8.02,11.89,8.062
1892,11.45,8.07,11.826,8.094
1893,11.24,8.06,11.712,8.088
1894,12.74,8.16,11.992,8.056
1895,11.38,8.15,11.756,8.092
1896,11.83,8.21,11.728,8.13
1897,11.84,8.29,11.806,8.174
1898,12.93,8.18,12.144,8.198
1899,12.74,8.4,12.144,8.246
1900,12,8.5,12.268,8.316
1901,11.68,8.54,12.238,8.382
1902,12.55,8.3,12.38,8.384
1903,12.28,8.22,12.25,8.392
1904,12.11,8.09,12.124,8.33
1905,11.93,8.23,12.11,8.276
1906,11.62,8.38,12.098,8.244
